ref,,eps005,
X,Y,X,Y
0.007377010294606079,0.0035432311112975623,0.010365766876986648,0.005023283131266487
0.019332036624128357,0.010044888199018331,0.027700555054794018,0.014897344464487955
0.026505052421841757,0.01559508327390191,0.040253332700792344,0.02281033687125056
0.038260828312538686,0.021938163359483148,0.05220835903031462,0.030025590468599234
0.04921960244793405,0.028439820447203917,0.061174628777456386,0.035892939547761876
0.05519711561269519,0.0339900155220875,0.07611841168935918,0.04424466166044386
0.06515963755396381,0.03811301757771529,0.09255657289245234,0.05428787179594746
0.07312965510697855,0.04413894365901749,0.1109872384837991,0.06427822293073793
0.08508468143650083,0.05016486974031967,0.12991603017220943,0.07458572806980746
0.09106219460126197,0.05471074380165289,0.14784856966649285,0.0841003481981793
0.10301722093078425,0.060525233880102336,0.16279235257839564,0.0935092503251248
0.11048911238673575,0.0649918194403658,0.18072489207267906,0.10281243445064397
0.12094976042506767,0.07141418802701682,0.19865743156696247,0.11211561857616312
0.13290478675458994,0.07775726811259806,0.2165899710612459,0.12131308470025592
0.14485981308411222,0.0841003481981793,0.2345225105555293,0.12998196081721697
0.1568148394136345,0.09036413978269078,0.2524550500498127,0.13843940093132528
0.16876986574315678,0.0963107773629232,0.27038758954409614,0.14668540504258087
0.18072489207267906,0.10265385744850444,0.28832012903837956,0.1547199731509838
0.19267991840220133,0.1089176490330159,0.306252668532663,0.16254310525653398
0.2026424403434699,0.11433569660611656,0.3241852080269463,0.1692452909342619
0.21539446842829368,0.12000218148256914,0.3421177475212297,0.17581952426899364
0.22854499739076817,0.12675756177371314,0.3600502870155131,0.18269119436170667
0.24050002372029045,0.13246633385073628,0.38097158309217716,0.1900184586986618
0.2524550500498127,0.13801652892561986,0.4048816357512217,0.1986810420774427
0.264410076379335,0.14348743549943366,0.42879168841026627,0.20637202668120994
0.2763651027088573,0.14903763057431726,0.4527017410693107,0.2131014808910518
0.28832012903837956,0.15434996014599156,0.4796005503107359,0.22076502915635363
0.30027515536790184,0.15942442421445654,0.5124768727169221,0.22878801862650505
0.3122301816974241,0.1646574652850611,0.5513307082878696,0.23518773335570756
0.3241852080269463,0.16959978185174313,0.6051283267707198,0.24273512911554618
0.33614023435646856,0.17440995091664224,0.6708809715830922,0.24737711045090335
0.34809526068599084,0.17924654948189794,0.790431234878315,0.24794219833947995
0.3600502870155131,0.18368670554180477,0.8561838796906874,0.245491462851869
0.3720053133450354,0.18812686160171166,0.9219365245030601,0.24188744007597057
0.38396033967455767,0.19256701766161854,0.9876891693154325,0.23779327020254995
0.39392286161582624,0.1962671477115409,1.053441814127805,0.23384326124016525
0.4048816357512217,0.20049586776859507,1.1191944589401777,0.22957037760242865
0.416836662080744,0.20430171581994383,1.1849471037525499,0.22609323931092615
0.42879168841026627,0.2081075638712926,1.2506997485649225,0.22365978024995523
0.44074671473978855,0.21159625791836226,1.3164523933772951,0.22109955111800988
0.45569049765169134,0.21603641397826912,1.3822050381896673,0.2196118333988033
0.47362303714597476,0.22079372404245506,1.44795768300204,0.218769979443722
0.4915555766402582,0.22512816210093556,1.5137103278144126,0.21834333179510854
0.5094881161345416,0.22935688215798972,1.5794629726267853,0.21869515306608908
0.527420655628825,0.2326341402022067,1.6452156174391575,0.21934685191470865
0.5483419517054889,0.23649284725426864,1.71096826225153,0.22035609270538165
0.5722520043645335,0.2400608298024081,1.7767209070639027,0.2216536553181265
0.6021395701883391,0.2438931073541134,1.842473551876275,0.22299160586864575
0.6380046491769059,0.2469060703947645,1.9082261966886476,0.22374719210394836
0.6738697281654727,0.24891471242186522,1.9739788415010202,0.22316505661557465
0.6977797808245173,0.24933758442757065,2.0397314863133924,0.22166029129657094
0.7754874519664122,0.24917900742543111,2.105484131125765,0.21882341051154236
0.8113525309549791,0.24849184041615982,2.1712367759381377,0.21469468778484174
0.8472176099435457,0.2469060703947645,2.23698942075051,0.20989698978288157
0.8830826889321125,0.24516172337122966,2.3027420655628825,0.20513395904762285
0.9189477679206793,0.24310022234341574,2.368494710375255,0.20219879713356265
0.9548128469092462,0.24077442631203597,2.434247355187628,0.19988066680142047
0.990677925897813,0.2386600662835089,2.5,0.19729160548726793
1.02654300488638,0.23643998825355544,2.5657526448123726,0.19525035563505194
1.0624080838749466,0.2342727692243152,2.6315052896247453,0.19407979192012442
1.0982731628635136,0.23221126819650129,2.6972579344371175,0.19316871784506157
1.1341382418520802,0.23025548517011374,2.76301057924949,0.19212503861452998
1.1700033208406473,0.2285111381465789,2.8287632240618628,0.1915887829081606
1.205868399829214,0.2268725091244704,2.894515868874235,0.19118513235725998
1.241733478817781,0.22544531610521462,2.9602685136866076,0.19076420537971933
1.2775985578063476,0.22428241808952473,2.9961335926751747,0.19086797835298092
1.3134636367949146,0.22333095607668754,,
1.3493287157834812,0.22264378906741625,,
1.3851937947720478,0.22206234005957132,,
1.421058873760615,0.22174518605529225,,
1.4569239527491815,0.22174518605529225,,
1.4927890317377486,0.22174518605529225,,
1.5286541107263152,0.22232663506313718,,
1.5645191897148822,0.22285522507026895,,
1.6003842687034489,0.22359525108025344,,
1.636249347692016,0.22454671309309063,,
1.6721144266805825,0.22565675210806735,,
1.7079795056691496,0.2269253681251836,,
1.7438445846577162,0.22819398414229983,,
1.7797096636462832,0.22977975416369514,,
1.8155747426348499,0.2312598061836641,,
1.851439821623417,0.23273985820363308,,
1.8873049006119835,0.23432562822502837,,
1.9231699796005506,0.23575282124428415,,
1.9590350585891172,0.23707429626211357,,
1.9949001375776843,0.23823719427780346,,
2.030765216566251,0.23892436128707478,,
2.066630295554818,0.23913579728992748,,
2.1024953745433845,0.2386600662835089,,
2.138360453531951,0.2370214372614004,,
2.174225532520518,0.23458992322859426,,
2.210090611509085,0.2317883961907959,,
2.245955690497652,0.22903972815371065,,
2.2818207694862185,0.2266610731216177,,
2.3176858484747855,0.2245995720938038,,
2.353550927463352,0.22269664806812944,,
2.389416006451919,0.22111087804673413,,
2.425281085440486,0.2197365440281915,,
2.461146164429053,0.2186265050132148,,
2.4970112434176195,0.21762218399966443,,
2.5328763224061865,0.21693501699039314,,
2.568741401394753,0.21624784998112184,,
2.60460648038332,0.21571925997399005,,
2.640471559371887,0.21534924696899782,,
2.6763366383604534,0.21482065696186606,,
2.7122017173490205,0.2147149389604397,,
2.748066796337587,0.21423920795402113,,
2.783931875326154,0.21413348995259474,,
2.8197969543147208,0.2140277719511684,,
2.855662033303288,0.213604899945463,,
2.8915271122918544,0.21349918194403664,,
2.9273921912804215,0.21349918194403664,,
2.963257270268988,0.21328774594118394,,
2.994828976706675,0.21318202793975757,,
